player_name,games,team_title,time,League,goals per 90 mins,npg per 90 mins,npxG per 90 mins,shots per 90 mins,xG per 90 mins,xGBuildup per 90 mins,xGChain per 90 mins
Lionel Messi,34,Barcelona,2704,La Liga,1.198224852071006,1.0650887573964496,0.7415982983598607,5.65828402366864,0.8652903906416873,0.35609907923905537,1.2800994717113718
Luis Suárez,33,Barcelona,2832,La Liga,0.6673728813559322,0.5402542372881356,0.6807665279435025,3.5593220338983054,0.7752469067177656,0.39337157502659925,1.1697544554501016
Karim Benzema,36,Real Madrid,2972,La Liga,0.6359353970390309,0.5450874831763123,0.497831470880803,3.1493943472409147,0.5653566920134575,0.2431427692075688,0.8237401641589436
Iago Aspas,27,Celta Vigo,2268,La Liga,0.7936507936507936,0.5952380952380952,0.34737728299602627,2.7777777777777777,0.4948530006148512,0.23272355168407396,0.737058547221952
Cristhian Stuani,32,Girona,2736,La Liga,0.625,0.4605263157894737,0.3515314234812793,2.5986842105263155,0.47377262190964664,0.1445265246653243,0.4254616308026016
Wissam Ben Yedder,35,Sevilla,2823,La Liga,0.5738575982996812,0.51009564293305,0.5557277581311056,2.4229543039319874,0.6031205918833883,0.3174093627745997,0.910021910220226
Borja Iglesias,37,Espanyol,3095,La Liga,0.49434571890145396,0.40710823909531507,0.39585794211757974,2.5880452342487885,0.4606996071201437,0.0919034709741688,0.5722927849240276
Antoine Griezmann,37,Atletico Madrid,3213,La Liga,0.42016806722689076,0.33613445378151263,0.34678292445087133,3.165266106442577,0.40923964834826837,0.23987306292359237,0.5751988405481774
Jorge Molina,38,Getafe,2657,La Liga,0.4742190440346255,0.4064734663153933,0.33681789826353575,1.930748964998118,0.38704805753670846,0.1244077493538635,0.5591631077277647
Charles,34,Eibar,1732,La Liga,0.7274826789838338,0.4157043879907621,0.3942939167300252,3.2736720554272516,0.6646547250677648,0.134498881300864,0.5239731951898469
Raúl de Tomás,33,Rayo Vallecano,2822,La Liga,0.44649184975194894,0.44649184975194894,0.4830404871963836,3.6676116229624385,0.4830404871963836,0.07621061716236643,0.5218039068751813
Jaime Mata,34,Getafe,2450,La Liga,0.5142857142857142,0.3673469387755102,0.35197639133096953,2.1673469387755104,0.46119269749187697,0.10475464168251777,0.4681012042018832
Mikel Oyarzabal,37,Real Sociedad,3168,La Liga,0.3693181818181819,0.28409090909090906,0.24998887537301262,1.875,0.3133327659981494,0.12620078931583772,0.46406463397116493
Iñaki Williams,38,Athletic Club,3055,La Liga,0.3829787234042553,0.3829787234042553,0.3938858484431687,2.20949263502455,0.3938858484431687,0.12120059683748236,0.5756404255493962
Roger,31,Levante,1911,La Liga,0.6122448979591837,0.5180533751962324,0.5336362930538141,3.296703296703297,0.6036467446683902,0.04886610372053398,0.5241586480237064
Maxi Gómez,35,Celta Vigo,2962,La Liga,0.3950033760972316,0.36461850101282917,0.35646620672196144,2.461174881836597,0.3790506047141976,0.07242827217807084,0.46188811129518725
Morales,37,Levante,3196,La Liga,0.3379224030037547,0.253441802252816,0.2626579602334056,1.8304130162703378,0.3673013849521944,0.14577460019512378,0.5029328366175051
Pablo Sarabia,33,Sevilla,2731,La Liga,0.39545953863053823,0.3625045770779934,0.37083116312607095,2.438667154888319,0.3953258501292803,0.3437756504781656,0.9119405780780101
Willian José,31,Real Sociedad,2376,La Liga,0.4545454545454546,0.26515151515151514,0.23442951909435744,2.083333333333333,0.43151070938840735,0.17056822720350637,0.5031380858483979
Karl Toko Ekambi,34,Villarreal,2147,La Liga,0.4191895668374476,0.4191895668374476,0.41379419604379697,2.473218444340941,0.44495161920334786,0.0808171790768143,0.4891852950950556
Ezequiel Ávila,34,SD Huesca,1991,La Liga,0.45203415369161226,0.40683073832245104,0.28266593253979994,4.023103967855349,0.3162646209021225,0.12291824127047403,0.4743557984579125
Jonathan Calleri,34,Alaves,2884,La Liga,0.28085991678224687,0.21844660194174756,0.20714657574287523,2.527739251040222,0.25353699670032437,0.12253215047563124,0.3594632528660284
Daniel Parejo,36,Valencia,3068,La Liga,0.26401564537157757,0.11734028683181225,0.1025106011758737,1.2907431551499347,0.23333146113287925,0.4411553451184286,0.5741982478247725
Raúl García,33,Athletic Club,2384,La Liga,0.33976510067114096,0.26426174496644295,0.20357516620014388,3.0578859060402683,0.3158102428068676,0.13179343168767507,0.3816586672156524
Youssef En-Nesyri,31,Leganes,2100,La Liga,0.38571428571428573,0.38571428571428573,0.3054455333389342,3.1714285714285713,0.3054455333389342,0.031065668391862086,0.35145680240488475
Giovani Lo Celso,32,Real Betis,2401,La Liga,0.3373594335693461,0.26239067055393583,0.19433920784872402,2.399000416493128,0.30578441626203406,0.24512444057659724,0.5104403979207441
Portu,34,Girona,2850,La Liga,0.28421052631578947,0.25263157894736843,0.24151522374074708,1.1684210526315788,0.26498715012873475,0.1463908750465826,0.4534848550922776
André Silva,27,Sevilla,2170,La Liga,0.3732718894009217,0.3732718894009217,0.4656650940994926,2.6129032258064515,0.4656650940994926,0.22560351946249535,0.7732782946719279
Gerard Moreno,35,Villarreal,2316,La Liga,0.31088082901554404,0.31088082901554404,0.43538904683712704,2.7979274611398965,0.4642728940762309,0.13763997954716956,0.595204224158561
Gareth Bale,29,Real Madrid,1786,La Liga,0.40313549832026874,0.3527435610302352,0.4371467808914378,3.829787234042553,0.4746019791953541,0.16568005718561962,0.6441531955052797
Rodrigo,33,Valencia,2538,La Liga,0.28368794326241137,0.28368794326241137,0.49484204804749354,2.8723404255319145,0.5211994121947611,0.28564204640210944,0.8764547286621224
Ousmane Dembélé,29,Barcelona,1673,La Liga,0.4303646144650328,0.4303646144650328,0.23042982263246725,2.098027495517035,0.23042982263246725,0.21019896839729202,0.6013795423716111
