,assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
0,7,33,22,227,47,19,30.112296249717474,Robert Lewandowski,F,0,144,Bayern Munich,2959,9.613417826592922,33.14324213936925,8.940890244208276,41.9232893884182,2
1,0,26,18,2380,15,17,9.485963467508554,Paco Alcácer,F S,0,52,Borussia Dortmund,1181,1.6062996024265885,10.243740145117044,4.099529501050711,12.346812877804041,0
2,8,27,17,319,38,14,14.366164984181523,Marco Reus,F M,1,69,Borussia Dortmund,2335,6.939870925620198,16.63949491083622,9.207558187656105,25.320983104407787,3
3,4,30,17,956,51,12,17.029077153652906,Andrej Kramaric,F M S,0,111,Hoffenheim,2418,5.921647775918245,21.57557637989521,12.90021593682468,30.95578696206212,2
4,3,34,17,5220,35,14,9.721117750741541,Kai Havertz,F M S,0,86,Bayer Leverkusen,2906,2.954478455707431,11.994204838760197,12.918041354045272,22.984744610264897,2
5,5,32,17,6228,26,16,15.616337072104216,Luka Jovic,F M S,0,96,Eintracht Frankfurt,2256,3.95373404212296,16.374113779515028,4.356704535894096,19.62764548137784,1
6,7,34,17,7052,37,13,12.712312754243612,Wout Weghorst,F S,0,74,Wolfsburg,2933,4.72768147289753,15.743419464677572,3.53567233402282,18.03469513170421,4
7,7,30,16,65,36,16,16.62587882205844,Timo Werner,F M S,0,107,RasenBallsport Leipzig,2537,5.612686746753752,17.38365549966693,3.907918706536293,24.071137614548206,1
8,3,28,16,3834,30,16,12.273321896791458,Ishak Belfodil,F M S,0,89,Hoffenheim,1867,5.104059521108866,12.273321896791458,3.8128798585385084,18.454887218773365,3
9,3,31,15,5250,32,15,12.088994555175304,Yussuf Poulsen,F S,0,65,RasenBallsport Leipzig,2450,4.421724207699299,12.088994555175304,6.061321057379246,19.941681249067187,2
10,9,29,15,6144,38,12,11.42155072838068,Sébastien Haller,F S,0,54,Eintracht Frankfurt,2176,7.365839168429375,13.69488088041544,5.61649052798748,18.38964570313692,3
11,9,34,14,83,43,14,15.157771278172731,Kevin Volland,F M S,0,87,Bayer Leverkusen,2829,8.729120729491115,15.157771278172731,5.735533520579338,24.608725138008595,4
12,2,34,14,5735,30,14,13.438383596017957,Jean-Philippe Mateta,F S,0,96,Mainz 05,2505,2.8835377227514982,13.438383596017957,2.674824961461127,17.881380734965205,2
13,4,34,12,3310,34,12,11.376326887868345,Alassane Pléa,F M S,0,83,Borussia M.Gladbach,2513,3.4188451878726482,11.376326887868345,5.197072887793183,15.470366824418306,2
14,14,34,12,6345,63,12,7.42170562967658,Jadon Sancho,M S,0,40,Borussia Dortmund,2463,8.30954198166728,7.42170562967658,16.31535041704774,28.072816412895918,2
15,9,32,11,155,78,8,8.571801902726293,Max Kruse,F M,0,91,Werder Bremen,2840,5.90660797804594,10.845131965354085,9.382066011428833,19.773427449166775,0
16,5,32,11,5240,41,11,6.746959904208779,Ondrej Duda,M S,0,54,Hertha Berlin,2590,5.985960928723216,6.746959904208779,8.362128216773272,17.58169650286436,7
17,2,28,10,29,16,9,11.038777105510235,Vedad Ibisevic,F M S,1,53,Hertha Berlin,1838,1.202530164271593,11.796553768217564,3.7467411402612925,15.357350505888462,4
18,10,33,10,213,73,7,5.9297669269144535,Thorgan Hazard,F M,0,75,Borussia M.Gladbach,2885,9.782202674075961,9.718650277704,8.82364621385932,17.893276195973158,1
19,5,30,10,993,27,10,9.3367649782449,Serge Gnabry,F M S,0,63,Bayern Munich,1782,7.477375930175185,9.3367649782449,9.198966048657894,23.934615643694997,0
20,1,18,10,2655,20,6,8.426219340413809,Alfred Finnbogason,F S,0,40,Augsburg,1372,2.4275614842772484,11.457083161920309,1.5004216907545924,10.54528609290719,2
21,3,24,10,4248,21,9,5.907995501533151,Nils Petersen,F S,0,49,Freiburg,1925,1.512045355513692,7.423548826947808,3.1481847977265716,8.715452741831541,0
22,3,31,10,5706,20,6,7.298882864415646,Dodi Lukebakio,F M S,0,56,Fortuna Duesseldorf,1989,2.206744723021984,11.845299813896418,2.986319987103343,12.223737822845578,6
23,4,30,10,7059,21,10,7.745715342462063,Benito Raman,F M S,0,55,Fortuna Duesseldorf,1677,3.12570059299469,7.745715342462063,2.0095480903983116,11.815192606300116,1
