,assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
0,13,34,36,2097,93,32,22.28090887516737,Lionel Messi,F S,0,170,Barcelona,2704,15.33516551926732,25.997169069945812,10.69879900291562,38.45987746119499,3
1,6,33,21,2098,47,17,21.421453412622213,Luis Suárez,F S,0,112,Barcelona,2832,7.323390703648329,24.39443599805236,12.378092227503657,36.808273531496525,5
2,6,36,21,2370,48,18,16.439501460641623,Karim Benzema,F S,0,104,Real Madrid,2972,6.1459240317344666,18.669334318488836,8.029114556498826,27.201730754226446,1
3,6,27,20,2290,56,15,8.753907531499863,Iago Aspas,F M S,0,70,Celta Vigo,2268,6.623374821618199,12.470295615494251,5.864633502438664,18.57387538999319,5
4,0,32,19,1709,14,14,10.68655527383089,Cristhian Stuani,F S,0,79,Girona,2736,0.6400149874389172,14.402687706053257,4.393606349825859,12.934033576399088,9
5,9,35,18,3210,45,16,17.43132734671235,Wissam Ben Yedder,F S,0,76,Sevilla,2823,7.872443415224552,18.917882565408945,9.956073679029942,28.544353917241096,4
6,3,37,17,2543,41,14,13.613114787265658,Borja Iglesias,F S,0,89,Espanyol,3095,4.824147495441139,15.842947600409389,3.1604582518339157,19.68051299266517,5
7,8,37,15,2270,74,12,12.380150402896106,Antoine Griezmann,F M,0,113,Atletico Madrid,3213,8.838093780912459,14.60985544603318,8.563468346372247,20.534598607569933,5
8,5,38,14,2155,44,12,9.94361284095794,Jorge Molina,F S,0,57,Getafe,2657,6.8675405932590365,11.42651876527816,3.672793222591281,16.507737524807453,2
9,1,34,14,2339,15,8,7.587967375293374,Charles,F S,0,63,Eibar,1732,1.5539405588060617,12.790910931304097,2.5883562490344048,10.08357304520905,4
10,1,33,14,4229,19,14,15.146002831868827,Raúl de Tomás,F S,0,115,Rayo Vallecano,2822,1.725691075436771,15.146002831868827,2.3896262403577566,16.361451391130686,5
11,6,34,14,7009,19,10,9.581579541787505,Jaime Mata,F M S,0,59,Getafe,2450,2.7390331588685513,12.554690098389983,2.8516541346907616,12.742755003273487,10
12,2,37,13,2234,45,10,8.799608413130045,Mikel Oyarzabal,F M S,0,66,Real Sociedad,3168,4.937821137718856,11.029313363134861,4.442267783917487,16.335075115785003,2
13,4,38,13,2399,30,13,13.370236299932003,Iñaki Williams,F M S,0,75,Athletic Club,3055,3.643498457968235,13.370236299932003,4.114086925983429,19.539794445037842,3
14,0,31,13,2566,15,11,11.330877289175987,Roger,F S,0,70,Levante,1911,1.05675339512527,12.817432545125484,1.0375902689993382,11.1296352930367,4
15,5,35,13,6124,31,12,11.731698936782777,Maxi Gómez,F S,1,81,Celta Vigo,2962,2.9785617627203465,12.474976568482816,2.383694913238287,15.201250951737165,4
16,5,37,12,2186,43,9,9.32727601006627,Morales,F M S,0,65,Levante,3196,5.543193655088544,13.04328029230237,5.1766180247068405,17.859703842550516,7
17,13,33,12,2199,67,11,11.252665627747774,Pablo Sarabia,F M S,0,74,Sevilla,2731,11.321500762365758,11.995943296700716,10.431681127287447,27.67233020812273,9
18,5,31,12,2361,37,7,6.188939304091036,Willian José,F S,1,55,Real Sociedad,2376,4.122103626839817,11.391882727853954,4.503001198172569,13.282845466397703,5
19,1,34,10,5657,26,10,9.871290432289243,Karl Toko Ekambi,F M S,0,59,Villarreal,2147,2.1872154027223587,10.614568071439862,1.9279387053102255,11.669786984100938,5
20,2,34,10,6955,21,9,6.25319857429713,Ezequiel Ávila,F M S,1,89,SD Huesca,1991,3.018417902290821,6.9964762246236205,2.719224648550153,10.493804385885596,10
21,2,34,9,1672,31,7,6.637896938249469,Jonathan Calleri,F S,0,81,Alaves,2884,3.2726386953145266,8.124452205374837,3.9264746885746717,11.518800236284733,6
22,7,36,9,2378,80,4,3.494472493417561,Daniel Parejo,M S,1,44,Valencia,3068,7.291649481281638,7.954010252840817,15.038495542481542,19.573780270293355,5
23,3,33,9,2400,27,7,5.3924799580127,Raúl García,M S,0,81,Athletic Club,2384,3.3771010860800743,8.365462431684136,3.491061568260193,10.109714029356837,12
24,2,31,9,5169,16,9,7.127062444575131,Youssef En-Nesyri,F M S,0,74,Leganes,2100,1.7204033602029085,7.127062444575131,0.7248655958101153,8.200658722780645,7
25,4,32,9,5681,27,7,5.184538200497627,Giovani Lo Celso,F M S,0,64,Real Betis,2401,4.238757798448205,8.157648704946041,6.539375353604555,13.617415504530072,5
26,2,34,9,6118,33,8,7.647982085123658,Portu,F M S,0,37,Girona,2850,4.6105682561174035,8.3912597540766,4.635711043141782,14.360353744588792,3
27,0,27,9,6170,29,9,11.227702824398875,André Silva,F M S,0,63,Sevilla,2170,4.498761082068086,11.227702824398875,5.439551524817944,18.64459888264537,4
28,1,35,8,2120,39,8,11.204011471942067,Gerard Moreno,F M S,0,72,Villarreal,2316,3.314938304014504,11.947289140895009,3.541935473680496,15.316588701680303,3
29,3,29,8,2251,18,7,8.674935007467866,Gareth Bale,F M S,0,76,Real Madrid,1786,3.250804353505373,9.418212609365582,3.2878286903724074,12.782862301915884,4
30,6,33,8,2381,31,8,13.954545754939318,Rodrigo,F S,1,81,Valencia,2538,4.1548741944134235,14.69782342389226,8.055105708539486,24.716023348271847,3
31,5,29,8,3226,45,8,4.283434369601309,Ousmane Dembélé,F M S,0,39,Barcelona,1673,5.402523474767804,4.283434369601309,3.907365268096328,11.178977493196726,1
32,3,37,8,4136,20,8,8.297677567228675,Ángel,F S,0,67,Getafe,1816,4.1381445014849305,8.297677567228675,0.6126872841268778,11.206870198249817,4
33,4,35,7,2135,28,7,11.471798448823392,Sergi Enrich,F S,0,67,Eibar,2596,2.452523239888251,11.471798448823392,3.991399483755231,15.442344807088375,4
34,5,30,7,2384,16,7,8.34234125353396,Santi Mina,F S,0,43,Valencia,1866,4.067188637331128,8.34234125353396,2.218737888149917,11.505678419955075,4
35,4,34,7,2401,29,6,6.300133673474193,Muniain,F M S,0,25,Athletic Club,2388,3.7107703760266304,7.043154893442988,5.689677402377129,14.666821591556072,6
