,assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
0,7,29,33,3423,47,32,28.33521442860365,Kylian Mbappe-Lottin,F M S,1,125,Paris Saint Germain,2334,6.042636580765247,29.855404809117317,8.34364271350205,38.67279802262783,5
1,11,38,22,5656,70,13,13.631397821940482,Nicolas Pepe,F M S,0,118,Lille,3333,10.378352787345648,21.232018552720547,7.536672064103186,25.91060943901539,1
2,5,21,18,3294,13,14,11.644859485328197,Edinson Cavani,F S,0,52,Paris Saint Germain,1677,3.699904168024659,15.445335105061531,3.8873160257935524,17.841728627681732,1
3,8,33,16,942,47,14,10.593068558722734,Florian Thauvin,F M S,1,100,Marseille,2640,5.518620133399963,12.113258797675371,6.639916637912393,16.527030110359192,5
4,2,33,15,696,18,12,12.006235995329916,Falcao,F S,0,94,Monaco,2570,2.008138954639435,15.046616622246802,3.706950436346233,14.692097512073815,10
5,7,17,15,2099,43,10,8.095414076000452,Neymar,F M S,0,55,Paris Saint Germain,1443,7.784678146243095,11.89575806260109,6.617414951324463,18.16519955545664,2
6,4,33,15,7142,30,14,14.63625518605113,Moussa Dembele,F S,0,90,Lyon,2011,2.927240513265133,16.156379889696836,4.067035652697086,18.790448036044836,1
7,7,36,14,3530,56,11,11.839981284923851,Andy Delort,F,0,118,Montpellier,3160,7.160262644290924,14.120135438628495,3.032923700287938,17.370513137429953,4
8,6,32,13,734,69,9,8.56350003555417,Wahbi Khazri,F M,1,94,Saint-Etienne,2833,6.186063554137945,11.603880625218153,4.981865022331476,15.514622081071138,10
9,3,38,13,3749,42,12,7.46048538479954,Jonathan Bamba,F M S,0,67,Lille,3022,5.541828125715256,8.220580444671214,6.860198639333248,18.65719462186098,4
10,2,19,12,3406,23,10,5.284657157026231,Emiliano Sala,F S,0,36,Nantes,1381,1.5352057609707117,6.804847395978868,1.4318778812885284,7.175497227348387,0
11,11,30,12,3553,56,12,9.621310396119952,Ángel Di María,F M S,0,98,Paris Saint Germain,2357,8.528094038367271,9.621310396119952,8.861682103946805,21.155920445919037,2
12,5,36,11,464,53,7,8.169392332434654,Max Gradel,F M,0,120,Toulouse,3240,6.057097190991044,14.250022202730179,5.334318674169481,15.282373238354921,6
13,4,29,11,1126,11,9,7.203044191934168,M&#039;Baye Niang,F M S,0,65,Rennes,1799,2.0234672632068396,8.723234475590289,1.0461313761770725,7.9402098674327135,5
14,4,37,11,3746,39,11,9.140705088153481,Gaetan Laborde,F M S,1,85,"Bordeaux,Montpellier",3025,5.831150211393833,9.140705088153481,2.6042679296806455,15.707102151587605,1
15,1,32,11,5980,23,9,6.989909829571843,Stéphane Bahoken,F S,0,66,Angers,2527,1.8294760948047042,9.270195240154862,0.9225906655192375,8.748190080747008,3
16,10,36,10,555,111,10,12.682275891304016,Memphis Depay,F M S,0,110,Lyon,2736,9.872087144292891,14.20240056887269,6.9624860771000385,22.044044464826584,5
17,1,37,10,3333,34,6,6.792148806154728,Francois Kamano,F M S,0,81,Bordeaux,2588,2.535522065125406,9.832529433071613,3.3744218926876783,11.495474744588137,6
18,2,35,10,5800,17,9,6.5806823670864105,Lebo Mothiba,F S,0,36,"Lille,Strasbourg",2019,1.5650245249271393,7.340777486562729,1.6830121092498302,8.64788580313325,3
19,4,37,10,6884,26,10,8.649784687906504,Remi Oudin,F M S,0,78,Reims,2647,3.0967111326754093,8.649784687906504,2.235126381739974,10.400826869532466,4
20,7,29,9,3667,51,5,5.549026450142264,Nabil Fekir,M S,0,91,Lyon,1986,5.368314161896706,10.109531557187438,9.316677749156952,15.554821189492941,5
21,1,23,9,3691,8,9,7.966052638366818,Robert Beric,F S,0,36,Saint-Etienne,1159,1.2720873355865479,7.966052638366818,0.8969554528594017,7.400097893550992,0
