,assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
0,6,30,15,5454,53,13,13.53171163238585,Fedor Chalov,F S,0,98,CSKA Moscow,2471,4.6286372393369675,15.040262231603265,4.654008806683123,20.732297763228416,1
1,6,26,13,2774,27,12,14.912172719836235,Sardar Azmoun,F M,0,84,"Rubin Kazan,Zenit St. Petersburg",2178,3.5290045887231827,15.666448041796684,3.063899722881615,15.68354582041502,6
2,5,29,12,5478,52,8,9.357476942241192,Viktor Claesson,F M S,0,84,FC Krasnodar,2465,6.248625719919801,12.37457817234099,7.16987799666822,21.01863956078887,2
3,2,26,11,4605,44,7,3.738384373486042,Anton Miranchuk,F M S,0,52,Lokomotiv Moscow,1806,3.8987333588302135,6.755485676229,3.7110466435551643,8.533433008939028,5
4,6,27,11,5924,34,11,9.516178891062737,Sebastián Driussi,F M S,1,59,Zenit St. Petersburg,1853,3.2382487524300814,9.516178891062737,4.497548063285649,12.52913192100823,2
5,2,25,10,2818,34,7,6.2585537363775074,Zé Luís,F S,0,50,Spartak Moscow,1899,2.459173308685422,8.521360844839364,3.027116710320115,9.633651044219732,6
6,2,27,9,2907,34,9,6.381905978079885,Sly,F M S,0,59,FC Ufa,2271,3.309893795289099,7.136179809924215,3.040332967415452,10.016644085757434,6
7,4,16,8,2930,27,8,6.894144242629409,Ari,F M S,1,61,FC Krasnodar,1148,3.1458223406225443,7.648419564589858,3.545934123918414,12.69367191940546,3
8,10,27,8,3063,49,8,8.578462895005941,Artem Dzyuba,F,0,64,Zenit St. Petersburg,2366,7.147509387694299,8.578462895005941,8.21623617503792,21.198269799351692,2
9,0,25,8,3131,36,7,3.468757043592632,Zelimkhan Bakaev,F M S,0,43,Arsenal Tula,1832,3.082680686376989,4.223032365553081,0.9943145886063576,7.099729351699352,4
10,4,20,8,4299,21,8,6.886059071868658,Jefferson Farfán,F M S,0,49,Lokomotiv Moscow,1509,1.5886012855917215,6.886059071868658,2.158023353666067,7.08278769813478,2
11,0,20,8,5926,9,8,3.951232338324189,Magomed-Shapi Suleymanov,F M S,0,25,FC Krasnodar,528,0.6243560593575239,3.951232338324189,1.748716613277793,5.410342970862985,4
12,1,29,8,6774,33,6,3.2002400644123554,Aleksey Sutormin,D F M,0,55,FC Orenburg,2522,4.25337924528867,4.708790697157383,2.7860818058252335,9.11220608279109,7
13,3,24,7,2925,25,7,6.3661324148997664,Fedor Smolov,F S,0,54,"FC Krasnodar,Lokomotiv Moscow",1675,2.7856453242711723,7.120407736860216,2.7178091760724783,11.028213031589985,0
14,4,23,7,3813,26,7,6.523629928007722,Luka Djordjevic,F,0,51,Arsenal Tula,1934,3.6400231206789613,6.523629928007722,1.0928850136697292,10.328541815280914,6
15,4,20,7,6025,12,7,6.4191660434007645,Ivan Ignatyev,F S,0,44,FC Krasnodar,1206,2.8569307681173086,6.4191660434007645,1.9546714667230844,10.072689704596996,2
16,5,23,6,1127,30,4,3.661783091723919,Luiz Adriano,F M S,0,23,Spartak Moscow,1436,3.8728938093408942,5.170333743095398,2.446640409529209,8.630337789654732,4
17,5,30,6,2450,47,6,5.980793233960867,Wanderson,F M S,0,76,FC Krasnodar,2172,5.427919027395546,5.980793233960867,7.6659537348896265,16.676264371722937,2
18,1,25,6,2751,14,3,2.3507055900990963,Aleksey Ionov,F M S,0,20,FC Rostov,1646,1.0584932686761022,4.613530125468969,1.951862865127623,5.10067144036293,1
19,3,16,6,2772,14,6,4.256079779006541,Aleksandr Erokhin,M S,0,32,Zenit St. Petersburg,1155,2.598260624334216,4.256079779006541,2.5168425403535366,7.026543907821178,3
20,1,26,6,2869,22,4,3.7707454934716225,Reziuan Mirzov,F M S,0,54,"Arsenal Tula,FC Rostov",1676,1.0189323695376515,5.279296111315489,1.964008305221796,6.317015316337347,6
21,0,27,6,3105,4,6,2.459927032701671,Egor Sorokin,D S,1,16,Rubin Kazan,1990,0.6872456688433886,2.459927032701671,2.070098303258419,2.652605046518147,3
22,1,26,6,5483,25,6,5.049967837519944,Eric Bicfalvi,F M S,0,79,Ural,2274,2.2091390527784824,5.049967837519944,3.2751543228514493,9.053873496130109,3
23,0,21,6,6138,8,6,8.048959605395794,Andrei Panyukov,F M S,0,27,Ural,1226,0.6964176255278289,8.048959605395794,1.0385997872799635,9.587754242122173,2
