,assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
0,8,37,26,1230,37,17,16.319021749310195,Fabio Quagliarella,F,0,140,Sampdoria,3224,4.579968862235546,23.931930321268737,3.663694598712027,20.194039420224726,1
1,7,37,23,1148,65,22,18.964478004723787,Duván Zapata,F S,0,118,Atalanta,2908,10.126570320688188,20.48707564547658,7.800468221306801,30.310324768535793,5
2,0,37,22,7090,29,20,16.245793260633945,Krzysztof Piatek,F S,0,119,"AC Milan,Genoa",2974,3.065560871735215,17.768350951373577,4.017015072517097,19.6475436873734,5
3,8,31,21,2371,48,16,18.75628685578704,Cristiano Ronaldo,F M S,0,175,Juventus,2692,5.193873833864927,23.32403990253806,7.177339139394462,21.854169853031635,3
4,3,35,17,1583,37,17,14.078378658741713,Arkadiusz Milik,F S,0,111,Napoli,2403,3.2355691958218813,14.078378658741713,5.698175315745175,19.810957334935665,4
5,1,32,16,1104,24,16,12.38432938978076,Leonardo Pavoletti,F S,0,85,Cagliari,2748,1.5758431246504188,12.38432938978076,2.614385169930756,10.769815703853965,6
6,11,35,16,1384,70,15,11.61448871716857,Dries Mertens,F S,0,89,Napoli,2245,9.394875610247254,12.375787530094385,8.040112620219588,24.529832266271114,1
7,1,36,16,1493,28,10,10.213952701538801,Andrea Petagna,F S,0,90,SPAL 2013,3060,2.010345653165132,14.781544264405966,2.678131503984332,10.561220396310091,8
8,3,38,16,6980,45,13,13.789895532652736,Francesco Caputo,F,0,96,Empoli,3420,5.176008229143918,18.35760855488479,6.738054249435663,21.86472198367119,3
9,3,37,15,1186,35,10,12.437679756432772,Andrea Belotti,F,0,125,Torino,3304,4.31005790643394,17.005230847746134,3.120273321866989,16.587279498577118,5
10,6,36,15,1209,55,11,13.08528813533485,Ciro Immobile,F S,0,124,Lazio,2862,6.479808636009693,16.13044342212379,8.138662338256836,24.19428303092718,6
11,7,31,12,1426,65,12,10.003864467144012,Josip Ilicic,F M S,1,101,Atalanta,2156,7.9205546621233225,10.76516329869628,11.476233683526516,24.519811112433672,5
12,3,28,11,1252,37,11,8.618940285407007,Stephan El Shaarawy,F M S,0,70,Roma,2115,5.502360939979553,8.618940285407007,5.880333700217307,17.380668761208653,2
13,3,36,11,1468,25,11,8.629785878583789,Gregoire Defrel,F M S,0,47,Sampdoria,2339,3.1572974529117346,8.629785878583789,6.410521729849279,17.140595829114318,2
14,4,29,11,1513,34,6,10.658861765637994,Mauro Icardi,F S,0,74,Inter,2266,3.9040711726993322,15.226494329050183,2.46586611866951,15.77518942207098,0
15,2,30,11,1943,22,11,7.671817537397146,Gervinho,F S,0,44,Parma Calcio 1913,2312,4.0188683504238725,7.671817537397146,3.9990344485267997,13.20734278857708,3
16,6,28,10,1393,64,9,8.901560051366687,Lorenzo Insigne,F M S,1,120,Napoli,2081,5.122348241508007,10.424117786809802,7.503334891051054,19.246918447315693,6
17,9,36,9,1145,99,6,4.585926081985235,Rodrigo de Paul,F M,0,88,Udinese,3197,8.785433394368738,9.15363920852542,7.237865571863949,15.011438574641943,7
18,6,33,9,1253,46,9,15.172219702973962,Edin Dzeko,F S,0,131,Roma,2575,4.332473297603428,15.172219702973962,4.616411037743092,21.02340044081211,9
19,6,25,9,1295,30,9,6.68426332809031,Mario Mandzukic,F S,0,32,Juventus,2028,4.050770288333297,6.68426332809031,3.6779577676206827,11.394282164052129,4
20,0,25,9,1340,12,7,6.1673905132338405,Roberto Inglese,F S,0,47,Parma Calcio 1913,1977,0.6581488279625773,7.6899882433936,1.5600140113383532,6.716075063683093,3
21,3,34,8,448,58,6,8.893805839121342,Ivan Perisic,F M S,0,99,Inter,2714,6.945044007152319,10.416363582015038,7.5288591757416725,20.1699892655015,5
22,2,33,8,621,57,5,2.2960409494116902,Aleksandar Kolarov,D M S,1,42,Roma,2904,6.509762095287442,4.579897518269718,9.387654583901167,13.935706302523613,6
23,4,35,8,1612,59,7,8.270715089514852,Domenico Berardi,F M S,1,126,Sassuolo,2887,5.2382517494261265,9.03201393224299,9.820680231787264,19.979625917971134,5
24,2,28,8,2116,19,7,7.071574300527573,Felipe Caicedo,F S,0,42,Lazio,1377,1.3572736158967018,7.832873124629259,2.84649620950222,9.919919166713953,4
25,5,35,8,6160,20,8,5.478127952665091,Riccardo Orsolini,F M S,0,65,Bologna,1958,2.8834096426144242,5.478127952665091,2.3961955290287733,7.8939033299684525,2
26,3,32,8,6972,37,8,7.911042750813067,Federico Santander,F S,0,76,Bologna,2058,3.4152866499498487,7.911042750813067,1.625188335776329,9.550375498831272,5
27,10,35,7,1129,98,7,4.042498207651079,Suso,F M,1,95,AC Milan,3044,10.721461563371122,4.042498207651079,11.279044900089502,20.989105734974146,8
28,1,32,7,1183,32,7,5.960007892455906,Marco Benassi,M S,1,59,Fiorentina,2319,1.8511555846780539,5.960007892455906,3.6210908154025674,10.3707694131881,6
29,3,37,7,1433,54,7,9.371021075174212,Federico Chiesa,F M S,0,133,Fiorentina,3038,5.666827594861388,9.371021075174212,3.9333307184278965,17.490456853061914,4
