player.name,xG,goal
Aaron Mooy,0.09,0
Abdalla Mahmoud El Said Bekhit,0.1,0
Abdullah Ibrahim Otayf,0.16,0
Achraf Hakimi Mouh,0.06,0
Adem Ljajić,0.06,0
Adnan Januzaj,0.16,1
Adrien Sebastian Perruchet Silva,0.06,0
Ahmed Fathy Abdel Meneim Ibrahim,0.03,0
Ahmed Musa,0.32000000000000006,2
Alan Dzagoev,0.19,1
Alberto Junior Rodríguez Valdelomar,0.19,0
Albin Ekdal,0.12,0
Aleksandar Kolarov,0.06,1
Aleksandar Mitrović,2.1199999999999997,1
Aleksandr Erokhin,0.39,0
Aleksandr Golovin,0.25,2
Aleksandr Samedov,0.09,0
Alex Iwobi,0.29000000000000004,0
"Alfred John Momar N""Diaye",0.13,0
Alfreð Finnbogason,0.66,1
Ali Gabr,0.06,0
Alireza Jahanbakhsh,0.1,0
Amine Harit,0.18,0
Amr Medhat Warda,0.06,0
Andreas Evald Cornelius,0.13,0
Andreas Granqvist,0.64,2
Andrej Kramarić,0.8700000000000001,2
Andrija Živković,0.03,0
André Martín Carrillo Díaz,0.15,1
André Miguel Valente Silva,0.16,0
Andrés Iniesta Luján,0.31,1
Andrés Mateus Uribe Villa,0.25,0
Anga Dedryck Boyata,0.13,0
Anice Badri,0.19,0
Ante Rebić,0.81,1
Antoine Griezmann,1.4400000000000002,4
Aníbal Cesis Godoy,0.09,0
Arkadiusz Milik,0.17,0
Armando Enrique Cooper Whitaker,0.03,0
Aron Einar Gunnarsson,0.19,0
Artem Dzyuba,1.06,3
Artur Jędrzejczyk,0.13,0
Ashley Young,0.11,0
Axel Witsel,0.21,0
Ayoub El Kaabi,0.03,0
Aziz Eraltay Behich,0.09,0
Bamidele Alli,0.46,1
Bartosz Bereszyński,0.06,0
Benjamin Pavard,0.16,1
Bernardo Mota Veiga de Carvalho e Silva,0.21000000000000002,0
Birkir Bjarnason,0.6300000000000001,0
Blaise Matuidi,0.28,0
Blas Antonio Miguel Pérez Ortega,0.13,0
Blerim Džemaili,0.8600000000000001,1
Breel-Donald Embolo,0.38,0
Bruno Miguel Borges Fernandes,0.11000000000000001,0
Bryan Oviedo,0.16,0
Bryan Ruiz González,0.26,0
Carlos Alberto Vela Garrido,0.96,1
Carlos Andrés Sánchez Arcosa,0.09,0
Carlos Arturo Bacca Ahumada,0.32,0
Carlos Henrique Casimiro,0.24000000000000002,0
Carlos Joel Salcedo Hernández,0.35,0
Celso Borges Mora,0.32,0
"Cheikh N""Doye",0.43,0
Christian Alberto Cueva Bravo,0.16,0
Christian Dannemann Eriksen,0.6300000000000001,1
Corentin Tolisso,0.09,0
Cristhian Ricardo Stuani Curbelo,0.06,0
Cristian David Pavón,0.03,0
Cristian Gabriel Rodríguez Barrotti,0.12,0
Cristian Gamboa Luna,0.11,0
Cristiano Ronaldo dos Santos Aveiro,1.5300000000000005,4
Daler Kuzyaev,0.23,1
Daniel Arzani,0.09,0
Daniel Carvajal Ramos,0.16,0
Daniel Colindres Solera,0.15,0
Daniel Nii Tackie Mensah Welbeck,0.14,0
Danny Rose,0.06,0
David Alberto Guzmán Pérez,0.03,0
David Josué Jiménez Silva,0.7900000000000001,0
Davinson Sánchez Mina,0.26,0
Dawid Kownacki,0.19,0
Dejan Lovren,0.7500000000000002,0
Denis Cheryshev,1.0300000000000002,5
Diego Roberto Godín Leal,0.34,0
Diego Sebastián Laxalt Suárez,0.03,0
Diego da Silva Costa,1.77,3
Domagoj Vida,0.75,2
Douglas Costa de Souza,0.18,0
Dries Mertens,0.33,1
Dušan Tadić,0.09,0
Dylan Bronn,0.13,1
Eden Hazard,1.3600000000000003,3
Edgar Yoel Bárcenas Herrera,0.29000000000000004,0
Edinson Roberto Cavani Gómez,1.4600000000000004,3
Edson Omar Álvarez Velázquez,0.13,0
Eduardo Antonio Salvio,0.03,0
Ehsan Hajsafi,0.07,0
Emil Forsberg,0.7900000000000003,1
Emil Hallfreðsson,0.04,0
Enzo Nicolás Pérez,0.06,0
Eric Dier,0.51,1
Fabian Delph,0.1,0
Fabian Lukas Schär,0.13,0
Fahad Mosaed Al Muwallad Al Harbi,0.19,0
Fakhreddine Ben Youssef,0.97,1
