"","location","type.name","player.name","shot.outcome.name"
"1","103, 21","Shot","Yasir Gharsan Al Shahrani","Blocked"
"2","111, 52","Shot","Aleksandr Samedov","Blocked"
"3","107, 26","Shot","Yuri Zhirkov","Blocked"
"4","106, 49","Shot","Alan Dzagoev","Blocked"
"5","112, 47","Shot","Yury Gazinskiy","Goal"
"6","103, 29","Shot","Mohammad Ibrahim Al Sahlawi","Blocked"
"7","92, 39","Shot","Salem Mohammed Al Dawsari","Off T"
"8","110, 42","Shot","Yasir Gharsan Al Shahrani","Off T"
"9","110, 34","Shot","Denis Cheryshev","Goal"
"10","97, 50","Shot","Aleksandr Samedov","Off T"
"11","108, 24","Shot","Denis Cheryshev","Blocked"
"12","107, 39","Shot","Denis Cheryshev","Saved"
"13","104, 56","Shot","Roman Zobnin","Saved"
"14","115, 37","Shot","Artem Dzyuba","Goal"
"15","97, 25","Shot","Salem Mohammed Al Dawsari","Off T"
"16","110, 42","Shot","Roman Zobnin","Off T"
"17","104, 57","Shot","Hattan Babhir","Blocked"
"18","86, 38","Shot","Daler Kuzyaev","Off T"
"19","104, 23","Shot","Denis Cheryshev","Goal"
"20","99, 52","Shot","Aleksandr Golovin","Goal"
"21","89, 40","Shot","Alex Iwobi","Blocked"
"22","99, 46","Shot","Ivan Perišić","Off T"
"23","86, 35","Shot","Andrej Kramarić","Off T"
"24","109, 59","Shot","Odion Jude Ighalo","Blocked"
"25","93, 41","Shot","Oghenekaro Etebo","Off T"
"26","101, 23","Shot","Ante Rebić","Blocked"
"27","113, 41","Shot","Mario Mandžukić","Blocked"
"28","106, 33","Shot","Odion Jude Ighalo","Blocked"
"29","107, 37","Shot","Andrej Kramarić","Off T"
"30","104, 59","Shot","Šime Vrsaljko","Off T"
"31","104, 31","Shot","Alex Iwobi","Blocked"
"32","91, 47","Shot","Victor Moses","Off T"
"33","108, 57","Shot","Victor Moses","Off T"
"34","88, 41","Shot","Ivan Rakitić","Off T"
"35","112, 21","Shot","Alex Iwobi","Blocked"
"36","108, 34","Shot","Odion Jude Ighalo","Saved"
"37","112, 44","Shot","Mario Mandžukić","Off T"
"38","109, 41","Shot","Luka Modrić","Goal"
"39","108, 46","Shot","Dejan Lovren","Blocked"
"40","108, 52","Shot","Kelechi Promise Iheanacho","Off T"
"41","106, 40","Shot","Leon-Aderemi Balogun","Saved"
"42","86, 29","Shot","Oghenekaro Etebo","Off T"
"43","108, 49","Shot","Victor Moses","Blocked"
"44","111, 52","Shot","Mateo Kovačić","Saved"
"45","114, 56","Shot","Kylian Mbappé Lottin","Saved"
"46","94, 28","Shot","Paul Pogba","Saved"
"47","95, 43","Shot","Antoine Griezmann","Saved"
"48","109, 31","Shot","Antoine Griezmann","Blocked"
"49","110, 34","Shot","Mathew Leckie","Off T"
"50","105, 32","Shot","Mathew Leckie","Saved"
"51","109, 26","Shot","Lucas Hernández Pi","Blocked"
"52","101, 21","Shot","Aziz Eraltay Behich","Off T"
"53","108, 40","Shot","Antoine Griezmann","Goal"
"54","104, 37","Shot","Antoine Griezmann","Blocked"
"55","104, 43","Shot","Antoine Griezmann","Off T"
"56","109, 41","Shot","Mile Jedinak","Goal"
"57","86, 30","Shot","Samuel Yves Umtiti","Blocked"
"58","95, 42","Shot","Benjamin Pavard","Off T"
"59","100, 31","Shot","Lucas Hernández Pi","Off T"
"60","100, 63","Shot","Nabil Fekir","Blocked"
"61","97, 47","Shot","Josh Risdon","Blocked"
"62","96, 53","Shot","Gylfi Þór Sigurðsson","Off T"
"63","111, 43","Shot","Nicolás Hernán Otamendi","Off T"
"64","105, 45","Shot","Nicolás Alejandro Tagliafico","Off T"
"65","115, 57","Shot","Alfreð Finnbogason","Off T"
"66","100, 54","Shot","Johann Berg Guðmunds­son","Blocked"
"67","107, 32","Shot","Birkir Bjarnason","Off T"
"68","86, 50","Shot","Nicolás Hernán Otamendi","Off T"
"69","97, 49","Shot","Lionel Andrés Messi Cuccittini","Saved"
"70","90, 23","Shot","Faustino Marcos Alberto Rojo","Blocked"
"71","106, 37","Shot","Sergio Leonel Agüero del Castillo","Goal"
"72","96, 26","Shot","Lionel Andrés Messi Cuccittini","Saved"
"73","114, 40","Shot","Alfreð Finnbogason","Wayward"
"74","113, 39","Shot","Alfreð Finnbogason","Goal"
"75","111, 34","Shot","Nicolás Alejandro Tagliafico","Blocked"
"76","109, 35","Shot","Nicolás Hernán Otamendi","Saved"
"77","95, 31","Shot","Lucas Rodrigo Biglia","Off T"
"78","111, 22","Shot","Lionel Andrés Messi Cuccittini","Blocked"
"79","116, 48","Shot","Lucas Rodrigo Biglia","Off T"
"80","111, 26","Shot","Gylfi Þór Sigurðsson","Saved"
"81","102, 29","Shot","Gylfi Þór Sigurðsson","Off T"
"82","113, 44","Shot","Nicolás Hernán Otamendi","Off T"
"83","118, 24","Shot","Gylfi Þór Sigurðsson","Blocked"
"84","111, 49","Shot","Sergio Leonel Agüero del Castillo","Blocked"
"85","107, 55","Shot","Sergio Leonel Agüero del Castillo","Blocked"
"86","101, 37","Shot","Éver Maximiliano David Banega","Blocked"
"87","109, 41","Shot","Lionel Andrés Messi Cuccittini","Saved"
"88","105, 58","Shot","Lionel Andrés Messi Cuccittini","Blocked"
"89","92, 58","Shot","Lionel Andrés Messi Cuccittini","Off T"
"90","100, 53","Shot","Eduardo Antonio Salvio","Blocked"
"91","97, 20","Shot","Éver Maximiliano David Banega","Saved"
"92","92, 61","Shot","Lionel Andrés Messi Cuccittini","Blocked"
"93","97, 44","Shot","Lionel Andrés Messi Cuccittini","Off T"
"94","100, 27","Shot","Cristian David Pavón","Blocked"
"95","98, 44","Shot","Lionel Andrés Messi Cuccittini","Blocked"
"96","95, 55","Shot","Javier Alejandro Mascherano","Saved"
"97","105, 52","Shot","Lionel Andrés Messi Cuccittini","Off T"
"98","90, 36","Shot","Lionel Andrés Messi Cuccittini","Blocked"
"99","87, 57","Shot","Luis Jan Piers Advíncula Castrillón","Off T"
"100","84, 24","Shot","Víctor Yoshimar Yotún Flores","Saved"
"101","87, 41","Shot","Édison Michael Flores Peralta","Off T"
"102","103, 58","Shot","André Martín Carrillo Díaz","Saved"
"103","86, 43","Shot","Renato Fabrizio Tapia Cortijo","Blocked"
"104","107, 37","Shot","Alberto Junior Rodríguez Valdelomar","Wayward"
"105","113, 26","Shot","Pione Sisto Ifolo Emirmija","Blocked"
"106","88, 36","Shot","Thomas Delaney","Off T"
"107","108, 51","Shot","Jefferson Agustín Farfán Guadalupe","Blocked"
"108","100, 52","Shot","Christian Dannemann Eriksen","Blocked"
"109","94, 43","Shot","Lasse Schöne","Saved"
"110","102, 24","Shot","Thomas Delaney","Off T"
"111","108, 40","Shot","Christian Alberto Cueva Bravo","Off T"
"112","115, 45","Shot","Yussuf Yurary Poulsen","Off T"
"113","110, 60","Shot","Jefferson Agustín Farfán Guadalupe","Blocked"
"114","90, 36","Shot","Jens Stryger Larsen","Off T"
"115","103, 59","Shot","Christian Dannemann Eriksen","Off T"
"116","114, 50","Shot","Édison Michael Flores Peralta","Off T"
"117","108, 28","Shot","Yussuf Yurary Poulsen","Goal"
"118","108, 29","Shot","Édison Michael Flores Peralta","Saved"
"119","113, 41","Shot","José Paolo Guerrero González","Saved"
"120","113, 50","Shot","Alberto Junior Rodríguez Valdelomar","Off T"
"121","109, 59","Shot","Luis Jan Piers Advíncula Castrillón","Saved"
"122","112, 40","Shot","José Paolo Guerrero González","Off T"
"123","104, 49","Shot","Nicolai Jørgensen","Blocked"
"124","108, 43","Shot","Jefferson Agustín Farfán Guadalupe","Saved"
"125","105, 32","Shot","Christian Dannemann Eriksen","Saved"
"126","112, 41","Shot","José Paolo Guerrero González","Wayward"
"127","109, 44","Shot","Blerim Džemaili","Off T"
"128","115, 36","Shot","José Paulo Bezzera Maciel Júnior","Off T"
"129","91, 35","Shot","Neymar da Silva Santos Junior","Blocked"
"130","99, 21","Shot","Philippe Coutinho Correia","Goal"
"131","115, 57","Shot","Stephan Lichtsteiner","Wayward"
"132","116, 44","Shot","Gabriel Fernando de Jesus","Wayward"
"133","105, 26","Shot","Steven Zuber","Blocked"
"134","116, 32","Shot","Thiago Emiliano da Silva","Off T"
"135","88, 23","Shot","Blerim Džemaili","Off T"
"136","116, 41","Shot","Steven Zuber","Goal"
"137","97, 33","Shot","Philippe Coutinho Correia","Blocked"
"138","104, 36","Shot","Philippe Coutinho Correia","Blocked"
"139","116, 30","Shot","Neymar da Silva Santos Junior","Blocked"
"140","110, 43","Shot","Thiago Emiliano da Silva","Wayward"
"141","89, 36","Shot","Carlos Henrique Casimiro","Off T"
"142","94, 41","Shot","Fernando Luiz Rosa","Blocked"
"143","101, 51","Shot","Willian Borges da Silva","Blocked"
"144","100, 57","Shot","Willian Borges da Silva","Off T"
"145","108, 32","Shot","Philippe Coutinho Correia","Off T"
"146","100, 42","Shot","Blerim Džemaili","Saved"
"147","92, 52","Shot","Fernando Luiz Rosa","Off T"
"148","96, 21","Shot","Neymar da Silva Santos Junior","Saved"
"149","114, 54","Shot","Roberto Firmino Barbosa de Oliveira","Off T"
"150","109, 38","Shot","Neymar da Silva Santos Junior","Saved"
"151","99, 51","Shot","Xherdan Shaqiri","Off T"
"152","112, 40","Shot","Roberto Firmino Barbosa de Oliveira","Saved"
"153","105, 40","Shot","João Miranda de Souza Filho","Off T"
"154","115, 32","Shot","Renato Soares de Oliveira Augusto","Blocked"
"155","111, 29","Shot","Hirving Rodrigo Lozano Bahena","Blocked"
"156","114, 54","Shot","Timo Werner","Off T"
"157","103, 41","Shot","Mats Hummels","Saved"
"158","95, 38","Shot","Miguel Arturo Layún Prado","Off T"
"159","91, 40","Shot","Héctor Miguel Herrera López","Saved"
"160","110, 39","Shot","Héctor Alfredo Moreno Herrera","Saved"
"161","94, 28","Shot","Julian Draxler","Saved"
"162","87, 23","Shot","Toni Kroos","Blocked"
"163","105, 46","Shot","Timo Werner","Saved"
"164","97, 27","Shot","Toni Kroos","Saved"
"165","100, 31","Shot","Javier Hernández Balcázar","Blocked"
"166","95, 39","Shot","Miguel Arturo Layún Prado","Off T"
"167","97, 34","Shot","Miguel Arturo Layún Prado","Saved"
"168","109, 32","Shot","Hirving Rodrigo Lozano Bahena","Goal"
"169","107, 50","Shot","Sami Khedira","Blocked"
"170","95, 49","Shot","Toni Kroos","Saved"
"171","102, 32","Shot","Carlos Alberto Vela Garrido","Off T"
"172","95, 30","Shot","Marvin Plattenhardt","Saved"
"173","93, 40","Shot","Joshua Kimmich","Off T"
"174","105, 25","Shot","Julian Draxler","Blocked"
"175","102, 36","Shot","Toni Kroos","Blocked"
"176","102, 29","Shot","José Andrés Guardado Hernández","Off T"
"177","99, 31","Shot","Julian Draxler","Blocked"
"178","109, 41","Shot","Joshua Kimmich","Off T"
"179","104, 31","Shot","Julian Draxler","Off T"
"180","114, 34","Shot","Timo Werner","Off T"
"181","114, 58","Shot","Marco Reus","Off T"
"182","100, 49","Shot","Toni Kroos","Off T"
"183","106, 40","Shot","Julian Draxler","Blocked"
"184","97, 48","Shot","Miguel Arturo Layún Prado","Off T"
"185","99, 52","Shot","Mesut Özil","Blocked"
"186","101, 54","Shot","Miguel Arturo Layún Prado","Off T"
"187","99, 33","Shot","Toni Kroos","Saved"
"188","113, 35","Shot","Mario Gómez García","Blocked"
"189","113, 40","Shot","Mario Gómez García","Off T"
"190","117, 39","Shot","Mario Gómez García","Saved"
"191","96, 31","Shot","Julian Brandt","Off T"
"192","95, 59","Shot","Jérôme Boateng","Saved"
"193","112, 42","Shot","Aleksandar Mitrović","Blocked"
"194","119, 52","Shot","Marcos Danilo Ureña Porras","Saved"
"195","112, 45","Shot","Giancarlo González Castro","Saved"
"196","93, 20","Shot","Aleksandar Kolarov","Off T"
"197","116, 48","Shot","Giancarlo González Castro","Off T"
"198","104, 53","Shot","Aleksandar Mitrović","Blocked"
"199","116, 32","Shot","Aleksandar Mitrović","Wayward"
"200","96, 42","Shot","Marcos Danilo Ureña Porras","Off T"
"201","101, 29","Shot","Francisco Javier Calvo Quesada","Off T"
"202","109, 39","Shot","Aleksandar Mitrović","Saved"
"203","114, 41","Shot","Aleksandar Mitrović","Off T"
"204","94, 59","Shot","Aleksandar Kolarov","Goal"
"205","109, 45","Shot","Sergej Milinković-Savić","Off T"
"206","94, 37","Shot","Sergej Milinković-Savić","Off T"
"207","118, 42","Shot","Filip Kostić","Wayward"
"208","100, 36","Shot","Nemanja Matić","Blocked"
"209","102, 57","Shot","Joel Nathaniel Campbell Samuels","Blocked"
"210","100, 43","Shot","Celso Borges Mora","Blocked"
"211","101, 30","Shot","Filip Kostić","Off T"
"212","79, 33","Shot","Cristian Gamboa Luna","Saved"
"213","112, 31","Shot","Óscar Esau Duarte Gaitán","Blocked"
"214","106, 42","Shot","Bryan Ruiz González","Blocked"
"215","113, 34","Shot","Romelu Lukaku Menama","Off T"
"216","96, 51","Shot","Edgar Yoel Bárcenas Herrera","Wayward"
"217","104, 24","Shot","Yannick Ferreira Carrasco","Saved"
"218","104, 54","Shot","Dries Mertens","Saved"
"219","118, 30","Shot","Eden Hazard","Off T"
"220","110, 57","Shot","Dries Mertens","Off T"
"221","98, 22","Shot","Kevin De Bruyne","Off T"
"222","103, 56","Shot","Eden Hazard","Off T"
"223","109, 54","Shot","Eden Hazard","Saved"
"224","104, 37","Shot","Román Aureliano Torres Morcillo","Wayward"
"225","103, 50","Shot","Dries Mertens","Off T"
"226","92, 53","Shot","Armando Enrique Cooper Whitaker","Off T"
"227","105, 59","Shot","Dries Mertens","Goal"
"228","97, 26","Shot","Kevin De Bruyne","Off T"
"229","111, 49","Shot","Michael Amir Murillo Bermudez","Saved"
"230","111, 38","Shot","Román Aureliano Torres Morcillo","Off T"
"231","99, 33","Shot","Edgar Yoel Bárcenas Herrera","Off T"
"232","94, 37","Shot","Kevin De Bruyne","Blocked"
"233","114, 43","Shot","Romelu Lukaku Menama","Goal"
"234","110, 29","Shot","Romelu Lukaku Menama","Goal"
"235","95, 29","Shot","Eden Hazard","Blocked"
"236","96, 19","Shot","Fidel Escobar Mendieta","Saved"
"237","113, 39","Shot","Jesse Lingard","Saved"
"238","108, 41","Shot","Harry Maguire","Off T"
"239","97, 36","Shot","Harry Kane","Blocked"
"240","112, 47","Shot","John Stones","Saved"
"241","116, 46","Shot","Harry Kane","Goal"
"242","94, 48","Shot","Jordan Brian Henderson","Saved"
"243","91, 21","Shot","Naïm Sliti","Off T"
"244","116, 50","Shot","Jesse Lingard","Off T"
"245","98, 46","Shot","Ferjani Sassi","Blocked"
"246","108, 36","Shot","Fakhreddine Ben Youssef","Wayward"
"247","111, 58","Shot","Harry Maguire","Saved"
"248","108, 40","Shot","Ferjani Sassi","Goal"
"249","118, 47","Shot","Bamidele Alli","Blocked"
